AirlineID,IataCode,IcaoCode,Name,Active
1575,,ORO,C N Air,0
1576,,TIP,C and M Aviation,0
1577,,RWG,C&M Airways,0
1578,,RMU,C.S.P.,0
1579,,CBI,CABI,0
1580,,CPI,CAI,0
1581,5C,ICL,CAL Cargo Air Lines,1
1582,,CMR,CAM Air Management,0
1583,,CTZ,CATA L,0
1584,,CCF,CCF Manager Airline,0
1585,,CED,CEDTA (Compania Ecuatoriana De Transportes Aereos),0
1586,,HBI,CHC Denmark,0
1587,,HEM,CHC Helicopters,0
1588,AW,SCH,CHC Airways,0
1589,,HKS,CHC Helikopter Service,0
1590,,VCI,CI-Tours,0
1591,,CKC,CKC Services,0
1592,,CMZ,CM Stair,0
1593,,CNT,CNET,0
1594,,OAP,COAPA AIR,0
1595,,PDR,COMAV,0
1596,,CRH,CRI Helicopters Mexico,0
1597,,IRO,CSA Air,0
1598,,CSE,CSE Aviation,0
1599,,CTQ,CTK Network Aviation,0
1600,,CBR,Cabair College of Air Training,0
1601,,CVE,Cabo Verde Express,0
1602,,CWD,Caernarfon Airworld,0
1603,,CCE,Cairo Air Transport Company,0
1604,,CGC,Cal Gulf Aviation,0
1605,,REZ,Cal-West Aviation,0
1606,,CSL,California Air Shuttle,0
1607,XG,CLI,Calima Aviacion,1
1608,MO,CAV,Calm Air,0
1609,R9,CAM,Camai Air,0
1610,,KHM,Cambodia Airlines,0
1611,UY,UYC,Cameroon Airlines,0
1612,,HSO,Campania Helicopteros De Transporte,0
1613,C6,CJA,CanJet,0
1614,,PIL,Canada Jet Charters,0
1615,CP,CDN,Canadian Airlines,1
1616,,CTG,Canadian Coast Guard,0
1617,,HIA,Canadian Eagle Aviation,0
1618,,CFC,Canadian Forces,0
1619,,BZD,Canadian Global Air Ambulance,0
1620,,CDN,Canadian Helicopters,0
1621,,TKR,Canadian Interagency Forest Fire Centre,0
1622,,XNC,Canadian National Telecommunications,0
1623,5T,MPE,Canadian North,1
1624,,CDR,Canadian Regional Airlines,0
1625,,CWH,Canadian Warplane Heritage Museum,0
1626,W2,CWA,Canadian Western Airlines,0
1627,,CWW,Canair,0
1628,,CUI,Cancun Air,0
1629,9K,KAP,Cape Air,1
1630,,CTO,Cape Air Transport,0
1631,,SEM,Cape Central Airways,0
1632,,CMY,Cape Smythe Air,0
1633,,CPX,Capital Air Service,0
1634,,CPD,Capital Airlines,0
1635,,NCP,Capital Airlines Limited,0
1636,PT,CCI,Capital Cargo International Airlines,0
1637,,CCQ,Capital City Air Carriers,0
1638,,EGL,Capital Trading Aviation,0
1639,,CEX,Capitol Air Express,0
1640,,CWZ,Capitol Wings Airline,0
1641,,VAN,Caravan Air,0
1642,,CWN,Cardiff Wales Flying Club,0
1643,,FVA,Cardinal/Air Virginia,0
1644,,GOL,Cardolaar,0
1645,,CDI,Cards Air Services,0
1646,,CFH,Care Flight,0
1647,,CDM,Carga Aerea Dominicana,0
1648,,EST,Carga Express Internacional,0
1649,GG,GGC,Cargo 360,0
1650,,MCX,Cargo Express,0
1651,,CRV,Cargo Ivoire,0
1652,,CLM,Cargo Link (Caribbean),0
1653,,CTW,Cargo Three,0
